Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2002-08-01,59.85768730423084,60.16725142121695,58.17814468504023,58.47453308105469,66571900,1,3,31,8,2002
2002-08-02,58.290089395510925,58.56013628948654,56.39319338013737,57.1638069152832,51772900,2,4,31,8,2002
2002-08-05,56.96622516961504,57.25603068206065,55.02981158890993,55.17470932006836,47191300,5,0,32,8,2002
2002-08-06,56.13633632512863,57.89491791959009,56.05729708687053,57.03208923339844,64730000,6,1,32,8,2002
2002-08-07,57.87514865235432,58.290093269999254,56.49198987674422,58.026634216308594,43289400,7,2,32,8,2002
2002-08-08,58.23741025651479,60.00257968076528,57.82905342837174,59.90378189086914,48339800,8,3,32,8,2002
2002-08-09,59.34395308640734,60.55586330796785,58.849969006845015,60.127742767333984,41879200,9,4,32,8,2002
2002-08-12,59.27146702575306,60.11453189119455,58.98166661892191,59.68641662597656,25841700,12,0,33,8,2002
2002-08-13,59.37685656772188,60.37141207235126,58.38888892108778,58.59965515136719,49690500,13,1,33,8,2002
2002-08-14,58.63259710760436,61.010306828192576,57.973951866999634,60.740264892578125,57423600,14,2,33,8,2002
2002-08-15,61.14864650297845,61.90608984160077,60.72711378019266,61.58335494995117,45551500,15,3,33,8,2002
2002-08-16,61.135462814521674,61.96535738464664,60.59537381413741,61.398921966552734,36517300,16,4,33,8,2002
2002-08-19,61.55698534715056,63.06528359434686,61.31987265173584,62.83475875854492,33669900,19,0,34,8,2002
2002-08-20,62.45274280681369,62.83475826029314,61.66237051174163,62.169525146484375,30508300,20,1,34,8,2002
2002-08-21,62.61079516052694,63.08502038777866,61.62941546944716,63.06526184082031,39628900,21,2,34,8,2002
2002-08-22,62.89403266807689,63.9873861803765,62.61740287281955,63.67782211303711,38399800,22,3,34,8,2002
2002-08-23,63.23651515029145,63.328725058921314,62.01143490699394,62.307823181152344,33716400,23,4,34,8,2002
2002-08-26,62.51205166127033,62.99286009949239,61.58335902227141,62.742576599121094,33830100,26,0,35,8,2002
2002-08-27,63.03234509824268,63.39460197670668,61.583327634515065,62.018035888671875,35335700,27,1,35,8,2002
2002-08-28,61.438402752199146,61.5767175945905,60.4636109986613,60.66120147705078,38970600,28,2,35,8,2002
2002-08-29,60.11454174965281,61.286934359552816,59.811565578014765,60.687564849853516,42965700,29,3,35,8,2002
2002-08-30,60.38459119795114,61.51087386942843,60.200171348829336,60.45045471191406,30366700,30,4,35,8,2002
2002-09-03,59.75889045621246,59.93672247670822,58.05958437118692,58.145206451416016,76586400,3,1,36,9,2002
2002-09-04,58.36252715792662,59.4427044320272,58.000270439451796,58.975067138671875,51099500,4,2,36,9,2002
2002-09-05,58.2835253274874,58.90265356145963,57.63146784121647,58.47453308105469,67250900,5,3,36,9,2002
2002-09-06,59.11338441636828,59.6534730757716,58.84333757413551,59.278045654296875,38622200,6,4,36,9,2002
2002-09-09,58.685290005126994,60.16724179831235,58.48769944774092,59.7127799987793,33998400,9,0,37,9,2002
2002-09-10,60.02894913766015,60.45048184631302,59.646933550110276,60.397789001464844,41416600,10,1,37,9,2002
2002-09-11,60.904941584318514,61.47137703629743,60.002595567778684,60.02235412597656,27711200,11,2,37,9,2002
